time_s,force
7.356,10.1081
7.357,9.9138
7.358,9.6955
7.359,9.4872
7.36,9.4214
7.361,9.6907
7.362,9.9595
7.363,10.041
7.364,10.1573
7.365,10.2305
7.366,10.1097
7.367,10.1162
7.368,9.92
7.369,10.1813
7.37,10.0132
7.371,10.2658
7.372,10.1617
7.373,10.1895
7.374,9.8468
7.375,9.3803
7.376,9.4022
7.377,9.6984
7.378,10.24
7.379,10.3572
7.38,10.2153
7.381,10.2989
7.382,10.0942
7.383,10.0648
7.384,10.0364
7.385,10.0573
7.386,10.263
7.387,10.0393
7.388,10.1126
7.389,10.0305
7.39,9.8392
7.391,9.6229
7.392,9.4418
7.393,9.8594
7.394,10.1102
7.395,10.1712
7.396,10.0517
7.397,10.0227
7.398,9.8516
7.399,9.703
7.4,9.4469
7.401,9.5366
7.402,9.7823
7.403,10.1769
7.404,10.2803
7.405,10.0429
7.406,9.6387
7.407,9.4236
7.408,9.5378
7.409,9.9232
7.41,10.1966
7.411,10.3914
7.412,10.4753
7.413,10.4414
7.414,10.3133
7.415,9.8506
7.416,9.4395
7.417,9.5468
7.418,10.0778
7.419,10.6264
7.42,10.5673
7.421,10.4904
7.422,10.2408
7.423,10.1786
7.424,9.9904
7.425,9.9638
7.426,10.0986
7.427,10.1527
7.428,10.3087
7.429,10.3382
7.43,9.9985
7.431,9.4317
7.432,9.4665
7.433,9.8164
7.434,10.1347
7.435,10.188
7.436,10.1209
7.437,9.8567
7.438,9.6465
7.439,9.4211
7.44,9.4784
7.441,9.4375
7.442,9.6593
7.443,9.8968
7.444,10.1073
7.445,10.2073
7.446,9.7862
7.447,9.4763
7.448,9.4345
7.449,9.7073
7.45,10.0603
7.451,10.2487
7.452,10.3684
7.453,10.022
7.454,9.8238
7.455,9.5533
7.456,9.5813
7.457,9.6617
7.458,9.9318
7.459,10.2104
7.46,10.4908
7.461,10.4303
7.462,10.0293
7.463,9.6901
7.464,9.413
7.465,9.7539
7.466,9.7525
7.467,10.1969
7.468,9.9808
7.469,9.8715
7.47,9.8314
7.471,9.9292
7.472,9.8186
7.473,9.7123
7.474,9.9502
7.475,10.0533
7.476,10.4057
7.477,10.3009
7.478,10.1137
7.479,9.7895
7.48,9.6742
7.481,9.7269
7.482,9.9164
7.483,10.1865
7.484,10.2673
7.485,10.2676
7.486,10.1606
7.487,9.9117
7.488,9.5344
7.489,9.657
7.49,9.9319
7.491,10.1652
7.492,10.4075
7.493,10.3401
7.494,10.1454
7.495,9.8714
7.496,9.9479
7.497,9.8349
7.498,9.8799
7.499,9.9614
7.5,10.1717
7.501,10.0122
7.502,9.5911
7.503,9.3668
7.504,9.2514
7.505,9.4408
7.506,9.5587
7.507,10.2503
7.508,10.4459
7.509,10.4575
7.51,10.0624
7.511,9.8183
7.512,9.8018
7.513,9.8549
7.514,10.1612
7.515,10.4204
7.516,10.5266
7.517,10.3879
7.518,10.0497
7.519,9.9556
7.52,9.9233
7.521,9.9172
7.522,10.1036
7.523,10.1819
7.524,10.2251
7.525,10.4407
7.526,10.3422
7.527,10.2742
7.528,9.9051
7.529,9.6767
7.53,9.63
7.531,9.9172
7.532,10.06
7.533,10.185
7.534,10.1722
7.535,10.0219
7.536,9.8429
7.537,9.6671
7.538,10.1964
7.539,10.358
7.54,10.3755
7.541,10.4845
7.542,10.3058
7.543,10.1078
7.544,9.95
7.545,10.0366
7.546,10.0692
7.547,10.1723
7.548,10.1633
7.549,10.3713
7.55,10.2001
7.551,9.829
7.552,9.4385
7.553,9.705
7.554,10.2916
7.555,10.5934
7.556,10.3462
7.557,10.121
7.558,9.9468
7.559,9.7731
7.56,9.4874
7.561,9.3224
7.562,9.4513
7.563,9.6848
7.564,10.1323
7.565,10.2603
7.566,10.2502
7.567,9.8523
7.568,9.6753
7.569,9.8305
7.57,9.8605
7.571,9.9825
7.572,10.156
7.573,10.2412
7.574,10.2616
7.575,10.0645
7.576,9.813
7.577,9.5119
7.578,9.5049
7.579,9.76
7.58,9.957
7.581,10.1711
7.582,9.9502
7.583,9.8347
7.584,9.6081
7.585,9.7135
7.586,9.9723
7.587,10.2599
7.588,10.5854
7.589,10.568
7.59,10.3458
7.591,9.8291
7.592,9.666
7.593,9.6534
7.594,9.9338
7.595,10.1096
7.596,10.1866
7.597,10.2476
7.598,10.0761
7.599,9.8294
7.6,9.4488
7.601,9.3598
7.602,9.4654
7.603,9.9208
7.604,10.1194
7.605,10.3055
7.606,10.1428
7.607,9.7129
7.608,9.629
7.609,9.7149
7.61,10.116
7.611,10.3622
7.612,10.4501
7.613,10.3338
7.614,10.3057
7.615,10.0307
7.616,9.8838
7.617,9.7689
7.618,9.7058
7.619,10.0215
7.62,9.9098
7.621,9.7398
7.622,9.7754
7.623,9.6971
7.624,9.4921
7.625,9.342
7.626,9.5096
7.627,9.8588
7.628,10.1464
7.629,10.2936
7.63,10.2449
7.631,10.0978
7.632,9.8484
7.633,9.8283
7.634,9.958
7.635,10.2727
7.636,10.5178
7.637,10.4222
7.638,10.3224
7.639,10.133
7.64,9.7582
7.641,9.6305
7.642,9.6793
7.643,10.0856
7.644,10.2561
7.645,10.1558
7.646,9.8878
7.647,9.6053
7.648,9.5057
7.649,9.7227
7.65,9.956
7.651,10.2605
7.652,10.3524
7.653,10.4121
7.654,10.5472
7.655,10.1161
7.656,9.8848
7.657,9.6007
7.658,9.9401
7.659,10.0822
7.66,10.1876
7.661,10.1872
7.662,10.0785
7.663,9.9226
7.664,9.6878
7.665,9.4827
7.666,9.4781
7.667,9.8652
7.668,10.0268
7.669,10.1467
7.67,10.5281
7.671,10.0084
7.672,9.7917
7.673,9.4839
7.674,9.8308
7.675,10.2102
7.676,10.4329
7.677,10.5434
7.678,10.3508
7.679,10.1703
7.68,9.8872
7.681,9.7215
7.682,9.7392
7.683,9.9996
7.684,10.3298
7.685,10.1266
7.686,10.1061
7.687,9.8269
7.688,9.9438
7.689,9.9943
7.69,9.837
7.691,9.7953
7.692,9.8172
7.693,9.9087
7.694,9.8698
7.695,9.7212
7.696,9.576
7.697,9.5323
7.698,9.5191
7.699,10.1425
7.7,10.2613
7.701,10.6275
7.702,10.3218
7.703,10.0395
7.704,9.6403
7.705,9.5906
7.706,9.729
7.707,9.9465
7.708,10.2916
7.709,10.4783
7.71,10.3469
7.711,10.0473
7.712,9.8664
7.713,9.7532
7.714,9.9326
7.715,10.0302
7.716,10.1147
7.717,10.0272
7.718,10.0156
7.719,9.746
7.72,9.6479
7.721,9.6318
7.722,9.6952
7.723,9.7983
7.724,9.9841
7.725,9.9606
7.726,9.84
7.727,9.713
7.728,9.8743
7.729,10.0465
7.73,10.0613
7.731,10.3231
7.732,10.5239
7.733,10.5003
7.734,10.5626
7.735,10.3445
7.736,10.1356
7.737,9.8374
7.738,9.9102
7.739,9.8564
7.74,10.1276
7.741,10.17
7.742,10.1512
7.743,9.9654
7.744,9.8038
7.745,9.8428
7.746,9.8406
7.747,10.2125
7.748,10.3314
7.749,10.4398
7.75,10.2874
7.751,9.8509
7.752,9.6675
7.753,9.4685
7.754,9.6813
7.755,9.8101
7.756,10.2317
7.757,10.4071
7.758,10.3332
7.759,9.9544
7.76,9.8197
7.761,9.6577
7.762,9.8304
7.763,10.0769
7.764,10.0975
7.765,10.3115
7.766,10.1346
7.767,9.9533
7.768,9.674
7.769,9.653
7.77,9.4878
7.771,9.7918
7.772,9.763
7.773,9.988
7.774,9.7941
7.775,9.7328
7.776,9.5879
7.777,9.3964
7.778,9.654
7.779,10.2046
7.78,10.3551
7.781,10.2271
7.782,9.985
7.783,9.8991
7.784,9.9045
7.785,9.8587
7.786,10.0217
7.787,10.4242
7.788,10.7123
7.789,10.5557
7.79,10.2851
7.791,10.0158
7.792,9.7808
7.793,9.7496
7.794,9.579
7.795,9.9171
7.796,9.8805
7.797,9.9985
7.798,10.0764
7.799,10.0191
7.8,9.7691
7.801,9.5423
7.802,9.4994
7.803,9.7275
7.804,10.1221
7.805,10.3804
7.806,10.173
7.807,9.8736
7.808,9.6424
7.809,9.6691
7.81,9.6642
7.811,9.9957
7.812,10.1626
7.813,10.3064
7.814,10.4182
7.815,10.054
7.816,10.1878
7.817,9.7984
7.818,9.9591
7.819,10.1555
7.82,10.3875
7.821,10.386
7.822,10.1005
7.823,9.8555
7.824,9.6459
7.825,9.6128
7.826,9.7141
7.827,10.2624
7.828,10.2547
7.829,10.4048
7.83,10.0136
7.831,10.1186
7.832,9.7929
7.833,9.777
7.834,9.6257
7.835,9.5454
7.836,9.6971
7.837,9.8661
7.838,10.0607
7.839,10.0763
7.84,9.9808
7.841,9.8118
7.842,9.9842
7.843,10.2091
7.844,10.2734
7.845,10.2909
7.846,10.2728
7.847,10.2261
7.848,9.7772
7.849,9.7634
7.85,9.645
7.851,10.0005
7.852,10.2243
7.853,10.3892
7.854,10.503
7.855,10.0683
7.856,9.9561
7.857,9.8276
7.858,9.9628
7.859,10.2489
7.86,10.3965
7.861,10.1324
7.862,10.4907
7.863,10.0097
7.864,9.9139
7.865,9.4653
7.866,9.551
7.867,9.6423
7.868,9.8977
7.869,10.2112
7.87,10.1491
7.871,10.0658
7.872,9.7841
7.873,9.8283
7.874,9.821
7.875,9.9816
7.876,10.2382
7.877,10.354
7.878,10.4793
7.879,10.2733
7.88,9.8812
7.881,9.515
7.882,9.4355
7.883,9.5857
7.884,9.9141
7.885,10.2488
7.886,10.2623
7.887,10.2045
7.888,9.8496
7.889,9.9613
7.89,9.8413
7.891,10.0696
7.892,10.2767
7.893,10.2189
7.894,10.1517
7.895,9.7564
7.896,9.5234
7.897,9.5324
7.898,9.5424
7.899,9.7169
7.9,9.8607
7.901,10.2563
7.902,10.3932
7.903,10.2183
7.904,9.8302
7.905,9.6517
7.906,9.7467
7.907,9.9801
7.908,10.2594
7.909,10.317
7.91,10.2366
7.911,10.1479
7.912,9.9447
7.913,9.8515
7.914,9.842
7.915,9.9027
7.916,10.1131
7.917,10.3041
7.918,10.2717
7.919,10.1593
7.92,9.8951
7.921,9.7756
7.922,9.6641
7.923,9.9006
7.924,10.196
7.925,10.4193
7.926,10.2597
7.927,10.1707
7.928,9.8176
7.929,9.8696
7.93,9.7624
7.931,9.6459
7.932,9.8565
7.933,10.1092
7.934,10.406
7.935,10.1323
7.936,9.941
7.937,9.9246
7.938,9.9622
7.939,9.9786
7.94,10.1334
7.941,10.0246
7.942,9.9112
7.943,9.91
7.944,9.6752
7.945,9.6365
7.946,9.5634
7.947,9.6866
7.948,9.8596
7.949,10.0611
7.95,10.1856
7.951,10.2182
7.952,9.9363
7.953,9.8838
7.954,9.5658
7.955,9.9084
7.956,10.0483
7.957,10.1175
7.958,10.0972
7.959,9.9781
